feature,parameter,sensitivity,abs_sensitivity,direction
DC shape_raw[71],k0_1,-2.9519079191890434e-05,2.9519079191890434e-05,negative
DC shape_raw[71],k0_2,-6.021077651667963e-09,6.021077651667963e-09,negative
DC shape_raw[71],k0_3,2.2643047142947057e-05,2.2643047142947057e-05,positive
DC shape_raw[71],k0_4,2.6085242131535425e-08,2.6085242131535425e-08,positive
DC shape_raw[71],k0_pre,8.148895051470344e-07,8.148895051470344e-07,positive
DC shape_raw[71],gamma,7.077324592901479e-05,7.077324592901479e-05,positive
DC shape_raw[71],G_OH,-2.0223947993981607e-05,2.0223947993981607e-05,negative
DC shape_raw[71],G_O,8.127409737378988e-05,8.127409737378988e-05,positive
DC shape_raw[71],scaling_OOH_OH,-0.0001919386298521718,0.0001919386298521718,negative
DC shape_raw[71],E0_pre,0.0001832360353211976,0.0001832360353211976,positive
DC shape_raw[71],Cdl,0.12799348632066843,0.12799348632066843,positive
DC shape_raw[71],Ru,-3.878455279246504e-06,3.878455279246504e-06,negative
DC shape_raw[71],A,0.00015155549518769523,0.00015155549518769523,positive
DC shape_raw[72],k0_1,-2.8730921424059944e-05,2.8730921424059944e-05,negative
DC shape_raw[72],k0_2,-1.5241503112387388e-08,1.5241503112387388e-08,negative
DC shape_raw[72],k0_3,2.078630350981897e-05,2.078630350981897e-05,positive
DC shape_raw[72],k0_4,2.9129204009788814e-08,2.9129204009788814e-08,positive
DC shape_raw[72],k0_pre,4.787112150264726e-07,4.787112150264726e-07,positive
DC shape_raw[72],gamma,7.064369132994305e-05,7.064369132994305e-05,positive
DC shape_raw[72],G_OH,-8.372630576969325e-06,8.372630576969325e-06,negative
DC shape_raw[72],G_O,7.272784581224557e-05,7.272784581224557e-05,positive
DC shape_raw[72],scaling_OOH_OH,-0.0001761177342919034,0.0001761177342919034,negative
DC shape_raw[72],E0_pre,0.00018410275536648953,0.00018410275536648953,positive
DC shape_raw[72],Cdl,0.1258148825482217,0.1258148825482217,positive
DC shape_raw[72],Ru,-3.027753156004589e-06,3.027753156004589e-06,negative
DC shape_raw[72],A,0.00015121586857903333,0.00015121586857903333,positive
DC shape_raw[73],k0_1,-2.7663755359355183e-05,2.7663755359355183e-05,negative
DC shape_raw[73],k0_2,-2.4089576889146323e-08,2.4089576889146323e-08,negative
DC shape_raw[73],k0_3,1.8751889968637177e-05,1.8751889968637177e-05,positive
DC shape_raw[73],k0_4,3.207970313970448e-08,3.207970313970448e-08,positive
DC shape_raw[73],k0_pre,1.3750238336203903e-07,1.3750238336203903e-07,positive
DC shape_raw[73],gamma,6.985336754825481e-05,6.985336754825481e-05,positive
DC shape_raw[73],G_OH,3.465746954366903e-06,3.465746954366903e-06,positive
DC shape_raw[73],G_O,6.357085238557356e-05,6.357085238557356e-05,positive
DC shape_raw[73],scaling_OOH_OH,-0.00015879423018008972,0.00015879423018008972,negative
DC shape_raw[73],E0_pre,0.00018318262116438945,0.00018318262116438945,positive
DC shape_raw[73],Cdl,0.12231404450080831,0.12231404450080831,positive
DC shape_raw[73],Ru,-2.15628451098294e-06,2.15628451098294e-06,negative
DC shape_raw[73],A,0.00014941793571293828,0.00014941793571293828,positive
DC shape_raw[74],k0_1,-2.632767851888761e-05,2.632767851888761e-05,negative
DC shape_raw[74],k0_2,-3.2437088233007557e-08,3.2437088233007557e-08,negative
DC shape_raw[74],k0_3,1.6565875226796682e-05,1.6565875226796682e-05,positive
DC shape_raw[74],k0_4,3.491532950653807e-08,3.491532950653807e-08,positive
DC shape_raw[74],k0_pre,-2.053953103173678e-07,2.053953103173678e-07,negative
DC shape_raw[74],gamma,6.841596299518368e-05,6.841596299518368e-05,positive
DC shape_raw[74],G_OH,1.5153268163535936e-05,1.5153268163535936e-05,positive
DC shape_raw[74],G_O,5.391482545110197e-05,5.391482545110197e-05,positive
DC shape_raw[74],scaling_OOH_OH,-0.00014019023066106484,0.00014019023066106484,negative
DC shape_raw[74],E0_pre,0.00018048309468841846,0.00018048309468841846,positive
DC shape_raw[74],Cdl,0.11752026632888583,0.11752026632888583,positive
DC shape_raw[74],Ru,-1.2745895225132037e-06,1.2745895225132037e-06,negative
DC shape_raw[74],A,0.00014618086552808883,0.00014618086552808883,positive
DC shape_raw[75],k0_1,-2.473540274189308e-05,2.473540274189308e-05,negative
DC shape_raw[75],k0_2,-4.016160605584568e-08,4.016160605584568e-08,negative
DC shape_raw[75],k0_3,1.4255150860004596e-05,1.4255150860004596e-05,positive
DC shape_raw[75],k0_4,3.761532962910475e-08,3.761532962910475e-08,positive
DC shape_raw[75],k0_pre,-5.46619628032666e-07,5.46619628032666e-07,negative
DC shape_raw[75],gamma,6.635079672005615e-05,6.635079672005615e-05,positive
DC shape_raw[75],G_OH,2.6555934066894235e-05,2.6555934066894235e-05,positive
DC shape_raw[75],G_O,4.387385212377005e-05,4.387385212377005e-05,positive
DC shape_raw[75],scaling_OOH_OH,-0.0001205347986563422,0.0001205347986563422,negative
DC shape_raw[75],E0_pre,0.00017602891643503677,0.00017602891643503677,positive
DC shape_raw[75],Cdl,0.11147530700266617,0.11147530700266617,positive
DC shape_raw[75],Ru,-3.930849214494423e-07,3.930849214494423e-07,negative
DC shape_raw[75],A,0.0001415375199722567,0.0001415375199722567,positive
DC shape_raw[76],k0_1,-2.2902133218335606e-05,2.2902133218335606e-05,negative
DC shape_raw[76],k0_2,-4.714785663660603e-08,4.714785663660603e-08,negative
DC shape_raw[76],k0_3,1.1847140913551593e-05,1.1847140913551593e-05,positive
DC shape_raw[76],k0_4,4.015977746888591e-08,4.015977746888591e-08,positive
DC shape_raw[76],k0_pre,-8.828206402414335e-07,8.828206402414335e-07,negative
DC shape_raw[76],gamma,6.368260464324231e-05,6.368260464324231e-05,positive
DC shape_raw[76],G_OH,3.754507318911315e-05,3.754507318911315e-05,positive
DC shape_raw[76],G_O,3.3563183655807024e-05,3.3563183655807024e-05,positive
DC shape_raw[76],scaling_OOH_OH,-0.00010006147246874456,0.00010006147246874456,negative
DC shape_raw[76],E0_pre,0.00016986187914125425,0.00016986187914125425,positive
DC shape_raw[76],Cdl,0.10423300013174552,0.10423300013174552,positive
DC shape_raw[76],Ru,4.780470080964782e-07,4.780470080964782e-07,positive
DC shape_raw[76],A,0.00013553413211360498,0.00013553413211360498,positive
DC shape_raw[77],k0_1,-2.0845423264444674e-05,2.0845423264444674e-05,negative
DC shape_raw[77],k0_2,-5.3289015838746096e-08,5.3289015838746096e-08,negative
DC shape_raw[77],k0_3,9.369514879894809e-06,9.369514879894809e-06,positive
DC shape_raw[77],k0_4,4.252973298694413e-08,4.252973298694413e-08,positive
DC shape_raw[77],k0_pre,-1.210693510953584e-06,1.210693510953584e-06,negative
DC shape_raw[77],gamma,6.044128175513559e-05,6.044128175513559e-05,positive
DC shape_raw[77],G_OH,4.799866672679425e-05,4.799866672679425e-05,positive
DC shape_raw[77],G_O,2.3098042820701444e-05,2.3098042820701444e-05,positive
DC shape_raw[77],scaling_OOH_OH,-7.900582011480284e-05,7.900582011480284e-05,negative
DC shape_raw[77],E0_pre,0.00016204043575073087,0.00016204043575073087,positive
DC shape_raw[77],Cdl,0.09585874646383133,0.09585874646383133,positive
DC shape_raw[77],Ru,1.3289641425818566e-06,1.3289641425818566e-06,positive
DC shape_raw[77],A,0.00012822985800498116,0.00012822985800498116,positive
DC shape_raw[78],k0_1,-1.8585006226310482e-05,1.8585006226310482e-05,negative
DC shape_raw[78],k0_2,-5.848789944350925e-08,5.848789944350925e-08,negative
DC shape_raw[78],k0_3,6.849906587441264e-06,6.849906587441264e-06,positive
DC shape_raw[78],k0_4,4.4707396948924015e-08,4.4707396948924015e-08,positive
DC shape_raw[78],k0_pre,-1.5270108896670113e-06,1.5270108896670113e-06,negative
DC shape_raw[78],gamma,5.6661582510484217e-05,5.6661582510484217e-05,positive
DC shape_raw[78],G_OH,5.78025769840575e-05,5.78025769840575e-05,positive
DC shape_raw[78],G_O,1.2592463846652213e-05,1.2592463846652213e-05,positive
DC shape_raw[78],scaling_OOH_OH,-5.760304402086118e-05,5.760304402086118e-05,negative
DC shape_raw[78],E0_pre,0.00015263914531218154,0.00015263914531218154,positive
DC shape_raw[78],Cdl,0.08642889403280049,0.08642889403280049,positive
DC shape_raw[78],Ru,2.1502640160063247e-06,2.1502640160063247e-06,positive
DC shape_raw[78],A,0.00011969620650755991,0.00011969620650755991,positive
DC shape_raw[79],k0_1,-4.202628156310986e-07,4.202628156310986e-07,negative
DC shape_raw[79],k0_2,-6.265804635663016e-08,6.265804635663016e-08,negative
DC shape_raw[79],k0_3,4.315641418734634e-06,4.315641418734634e-06,positive
DC shape_raw[79],k0_4,4.6676256547286353e-08,4.6676256547286353e-08,positive
DC shape_raw[79],k0_pre,-1.8286545861736906e-06,1.8286545861736906e-06,negative
DC shape_raw[79],gamma,5.238278197134583e-05,5.238278197134583e-05,positive
DC shape_raw[79],G_OH,6.685166843605934e-05,6.685166843605934e-05,positive
DC shape_raw[79],G_O,2.1581748077239736e-06,2.1581748077239736e-06,positive
DC shape_raw[79],scaling_OOH_OH,-3.608565668800694e-05,3.608565668800694e-05,negative
DC shape_raw[79],E0_pre,-0.00014174796204591877,0.00014174796204591877,negative
DC shape_raw[79],Cdl,0.07603001200797792,0.07603001200797792,positive
DC shape_raw[79],Ru,2.9330762501198937e-06,2.9330762501198937e-06,positive
DC shape_raw[79],A,2.4440607839625786e-07,2.4440607839625786e-07,positive
DC shape_raw[80],k0_1,1.3541728820725172e-05,1.3541728820725172e-05,positive
DC shape_raw[80],k0_2,6.57246782759896e-08,6.57246782759896e-08,positive
DC shape_raw[80],k0_3,-1.7934741388664373e-06,1.7934741388664373e-06,negative
DC shape_raw[80],k0_4,-4.842121877414249e-08,4.842121877414249e-08,negative
DC shape_raw[80],k0_pre,2.1126462252220706e-06,2.1126462252220706e-06,positive
DC shape_raw[80],gamma,2.090235516408755e-05,2.090235516408755e-05,positive
DC shape_raw[80],G_OH,3.480330769298236e-05,3.480330769298236e-05,positive
DC shape_raw[80],G_O,8.09646816558258e-06,8.09646816558258e-06,positive
DC shape_raw[80],scaling_OOH_OH,1.4681246808966194e-05,1.4681246808966194e-05,positive
DC shape_raw[80],E0_pre,-0.00012947137434297045,0.00012947137434297045,negative
DC shape_raw[80],Cdl,-0.06475806471470115,0.06475806471470115,negative
DC shape_raw[80],Ru,9.529079297529968e-07,9.529079297529968e-07,positive
DC shape_raw[80],A,-9.928433870505831e-05,9.928433870505831e-05,negative
DC shape_raw[81],k0_1,1.0807435830052208e-05,1.0807435830052208e-05,positive
DC shape_raw[81],k0_2,6.762553307909433e-08,6.762553307909433e-08,positive
DC shape_raw[81],k0_3,6.906605431273349e-07,6.906605431273349e-07,positive
DC shape_raw[81],k0_4,-4.992873289811925e-08,4.992873289811925e-08,negative
DC shape_raw[81],k0_pre,2.3761765748864193e-06,2.3761765748864193e-06,positive
DC shape_raw[81],gamma,-2.1906021439220597e-05,2.1906021439220597e-05,negative
DC shape_raw[81],G_OH,-8.23157649185033e-05,8.23157649185033e-05,negative
DC shape_raw[81],G_O,1.806748626805988e-05,1.806748626805988e-05,positive
DC shape_raw[81],scaling_OOH_OH,-6.389646027156146e-06,6.389646027156146e-06,negative
DC shape_raw[81],E0_pre,-0.00011592740192300272,0.00011592740192300272,negative
DC shape_raw[81],Cdl,-0.0527174942364392,0.0527174942364392,negative
DC shape_raw[81],Ru,-4.350915850784415e-06,4.350915850784415e-06,negative
DC shape_raw[81],A,-8.760417723246556e-05,8.760417723246556e-05,negative
DC shape_raw[82],k0_1,7.966102756113719e-06,7.966102756113719e-06,positive
DC shape_raw[82],k0_2,6.831155992083053e-08,6.831155992083053e-08,positive
DC shape_raw[82],k0_3,3.1118827149433897e-06,3.1118827149433897e-06,positive
DC shape_raw[82],k0_4,-5.1186901171520915e-08,5.1186901171520915e-08,negative
DC shape_raw[82],k0_pre,2.6166332656048996e-06,2.6166332656048996e-06,positive
DC shape_raw[82],gamma,-3.700422418882523e-05,3.700422418882523e-05,negative
DC shape_raw[82],G_OH,-8.85739181388249e-05,8.85739181388249e-05,negative
DC shape_raw[82],G_O,2.7656215094929648e-05,2.7656215094929648e-05,positive
DC shape_raw[82],scaling_OOH_OH,-2.6915531276718198e-05,2.6915531276718198e-05,negative
DC shape_raw[82],E0_pre,-0.00010124646081179709,0.00010124646081179709,negative
DC shape_raw[82],Cdl,-0.04002021985921781,0.04002021985921781,negative
DC shape_raw[82],Ru,-4.971581283536034e-06,4.971581283536034e-06,negative
DC shape_raw[82],A,-7.508885323822097e-05,7.508885323822097e-05,negative
DC shape_raw[83],k0_1,5.04516487839038e-06,5.04516487839038e-06,positive
DC shape_raw[83],k0_2,6.774747155289977e-08,6.774747155289977e-08,positive
DC shape_raw[83],k0_3,5.446585530528723e-06,5.446585530528723e-06,positive
DC shape_raw[83],k0_4,-5.2185573210668973e-08,5.2185573210668973e-08,negative
DC shape_raw[83],k0_pre,2.831626623358316e-06,2.831626623358316e-06,positive
DC shape_raw[83],gamma,-3.119837691601491e-05,3.119837691601491e-05,negative
DC shape_raw[83],G_OH,-9.376490836799603e-05,9.376490836799603e-05,negative
DC shape_raw[83],G_O,3.677016636346911e-05,3.677016636346911e-05,positive
DC shape_raw[83],scaling_OOH_OH,-4.669582686092521e-05,4.669582686092521e-05,negative
DC shape_raw[83],E0_pre,-8.557010701597778e-05,8.557010701597778e-05,negative
DC shape_raw[83],Cdl,-0.02678456462588671,0.02678456462588671,negative
DC shape_raw[83],Ru,-5.525159762161133e-06,5.525159762161133e-06,negative
DC shape_raw[83],A,-6.185924610362663e-05,6.185924610362663e-05,negative
DC shape_raw[84],k0_1,2.072852224062182e-06,2.072852224062182e-06,positive
DC shape_raw[84],k0_2,6.591214911936579e-08,6.591214911936579e-08,positive
DC shape_raw[84],k0_3,7.6726354187064e-06,7.6726354187064e-06,positive
DC shape_raw[84],k0_4,-5.2916428829255274e-08,5.2916428829255274e-08,negative
DC shape_raw[84],k0_pre,3.019013365919672e-06,3.019013365919672e-06,positive
DC shape_raw[84],gamma,-2.514339422316517e-05,2.514339422316517e-05,negative
DC shape_raw[84],G_OH,-9.78410885498171e-05,9.78410885498171e-05,negative
DC shape_raw[84],G_O,4.532380807093858e-05,4.532380807093858e-05,positive
DC shape_raw[84],scaling_OOH_OH,-6.554256446900592e-05,6.554256446900592e-05,negative
DC shape_raw[84],E0_pre,-6.904967094894087e-05,6.904967094894087e-05,negative
