dataset,dc_nrmse,fail_reason,h2_amp_err,h2_live_fraction,h2_phase_err,h2_weak,h3_amp_err,h3_live_fraction,h3_peak_shift,h3_phase_err,h3_weak,h4_amp_err,h4_live_fraction,h4_phase_err,h4_weak,p_E0_eff,p_gamma,p_k0,p_kf,sample,status,total_nrmse,verdict
FT8,0.00013242142567783825,h2_phase=0.0765;h3_phase=0.2005;h4_phase=0.7492,0.0017862721456485466,0.9349590550039858,0.07651831384646912,0,0.005227052971657133,0.8263642292919777,0.0,0.20047813825052074,0,0.01732672161867594,0.947242553808247,0.7492073228115455,0,1.7529237604234367,4.3351712387277843e-11,8.051475419823166,266074.69746890705,5,ok,0.0010738395896334517,FAIL
FT2,,,,,,,,,,,,,,,,1.6866536289453506,5.197922643888705e-10,8110.878473151767,337.41319058788827,6,REFERENCE_UNAVAILABLE,,PASS
FT3,1.8028712495794873e-06,,7.650769864846399e-06,0.5489312024475665,7.007464921215956e-05,0,3.116063881137031e-05,0.6232840867919971,0.0,0.00040870041435514537,0,0.00012216416753719082,0.6475987279095045,0.0032364772234904082,0,1.6866536289453506,5.197922643888705e-10,8110.878473151767,337.41319058788827,6,ok,2.0540414919454856e-05,PASS
FT4,,,,,,,,,,,,,,,,1.6866536289453506,5.197922643888705e-10,8110.878473151767,337.41319058788827,6,REFERENCE_UNAVAILABLE,,PASS
FT8,2.039254088572966e-06,,6.548757622306472e-06,0.5727588955721429,0.0002606576340552502,0,2.793743837163776e-05,0.8223059642003043,0.0,0.0011167849996382984,0,0.00012117520295229424,0.9126023624900355,0.002634694406105309,0,1.6866536289453506,5.197922643888705e-10,8110.878473151767,337.41319058788827,6,ok,1.5949518242894856e-05,PASS
FT2,0.00014397935584749616,h2_phase=0.1803;h3_phase=0.8889;h4_phase=3.0814,0.010403896548140215,0.9841062267377527,0.18033704203693768,0,0.022649556502137187,0.9563625389799819,0.0,0.888855748645706,0,0.041625794722860016,0.9554773161653757,3.081369838117268,0,1.516026888974011,3.5092529035317295e-12,0.12148145491841436,1573.48018535406,7,ok,0.000687851752579415,FAIL
FT3,0.0004377583863793413,h2_phase=0.1272;h3_phase=0.2442;h4_phase=0.5248,0.00952319915119731,0.9974236141862244,0.1271503893014425,0,0.011253970022811999,0.995209532627511,0.0,0.24422270476941366,0,0.020482415258049197,0.993720059578922,0.524818802272691,0,1.516026888974011,3.5092529035317295e-12,0.12148145491841436,1573.48018535406,7,ok,0.002547495377944252,FAIL
FT4,0.00021767154601146075,h2_phase=0.2594;h3_phase=0.9974;h4_phase=3.1406,0.007383438311917736,0.9578442050909678,0.25943887285383854,0,0.01872516561621898,0.9260962523700028,0.0,0.9974199172038949,0,0.05273569815517703,0.9461051272741942,3.140641396690423,0,1.516026888974011,3.5092529035317295e-12,0.12148145491841436,1573.48018535406,7,ok,0.0005818152234749683,FAIL
FT8,0.00016098034257591107,h2_phase=0.0582;h3_phase=0.3800;h4_phase=0.5236,0.004882786074631065,1.0,0.05816162536816938,0,0.0143095056588562,0.995217044713385,0.0,0.37998213061808006,0,0.01987235189261528,0.9928255670700775,0.5235693371066097,0,1.516026888974011,3.5092529035317295e-12,0.12148145491841436,1573.48018535406,7,ok,0.0010918616662675584,FAIL
FT2,1.5736904895582567e-06,,1.0363769769339502e-05,0.9973040941555176,8.941654828942269e-05,0,1.9048763084598586e-05,0.9914897897595816,0.0,0.0002391065721480956,0,7.54355555858825e-05,0.9991348958857258,0.0004328287328790592,0,1.4653529886156322,9.628782497937233e-11,250.3437352127087,503.06741208929213,8,ok,2.5201441077533965e-05,PASS
FT3,1.846514782564121e-06,,1.1747070616352758e-05,0.9932772432671793,0.00015623153770993883,0,1.683236744011891e-05,0.993720059578922,0.0,0.0005799392628573763,0,0.00010826625187447722,0.9930759631254781,0.00047332061144200743,0,1.4653529886156322,9.628782497937233e-11,250.3437352127087,503.06741208929213,8,ok,4.67556618954176e-05,PASS
FT4,1.312090437566536e-07,,2.6682193777521704e-06,0.9952801645891323,4.944703277007245e-05,0,6.014954292067577e-06,0.9930614385412885,0.0,4.650837002051489e-05,0,1.8671826452141905e-05,0.9956835693251038,0.00021974166216631732,0,1.4653529886156322,9.628782497937233e-11,250.3437352127087,503.06741208929213,8,ok,1.0279614228133166e-06,PASS
