feature,k0_1,k0_2,k0_3,k0_4,k0_pre,gamma,G_OH,G_O,scaling_OOH_OH,E0_pre,Cdl,Ru,A
DC shape[65],1.9673783364316058e-05,2.5375405053345693e-05,0.042741366745717796,-2.1990164736094906e-07,-5.768131825304606e-06,0.04214570290103183,0.19328065061859293,-0.19329066598193728,-0.3648049599053103,-6.765598857929955e-05,-0.22709768019783128,0.0018117661018252288,0.018147798255253665
DC shape[66],-9.37922958827646e-06,2.5957632607620018e-05,0.043377893911793274,2.254207208180953e-07,-3.0891307346163292e-06,0.04281925233039776,0.19258592929944837,-0.19250116573409926,-0.37047405303598974,0.00010975212393424655,-0.10617722679269513,0.0018417641786817672,0.018552704884487556
DC shape[67],-1.9334520784887977e-05,2.6916692673980837e-05,0.04398766438643839,-2.4745485366667135e-07,5.89093536728633e-06,0.043383879761319376,0.19168266168259532,-0.19167228028192496,-0.37592319163995425,5.720232655679032e-05,-0.06323813905755431,0.0018633753905158443,0.01877384020933067
DC shape[68],8.451010181405162e-06,2.7461131362350505e-05,0.044562036752285636,-2.7975385717256117e-07,4.098736100227176e-06,0.04390838412818073,0.1906199223390154,-0.1907147997470582,-0.3810796213062549,-0.000124839070209964,-0.21453178740488435,0.0018832373269266742,0.01886612716550489
DC shape[69],2.03352381883988e-05,2.878005953835329e-05,0.04509633747783276,5.388194455857019e-08,-4.322343816184229e-06,0.04447458182683712,0.1895987825611892,-0.18963773980234727,-0.38589346006236747,-9.409330036661114e-05,-0.22297787042926345,0.0019087575557066166,0.019109193087559893
DC shape[70],-5.211407107077493e-06,2.9099418167681096e-05,0.045596318699493,-2.420745043623686e-07,-3.3677183919667995e-06,0.04502411277467626,0.18860338092921655,-0.1885320319046326,-0.39040697572711397,8.20405027667863e-05,-0.08077036495345259,0.0019343127266119003,0.01946765641452483
DC shape[71],-1.9967299848128166e-05,3.0115351279502962e-05,0.04607081989424889,-2.4932560260174936e-07,4.582719800690983e-06,0.04547408200595317,0.18751472538683467,-0.18749150119578573,-0.3946874638837272,8.067728067089321e-05,-0.07964606420849822,0.0019516741126278194,0.01966776617275988
DC shape[72],4.770695094050335e-06,3.100181427615447e-05,0.04652255893216451,2.739902277873393e-07,4.604710973852441e-06,0.04587698666544199,0.18643159033692142,-0.18652369809549674,-0.39877972917398524,-0.00010447561983489537,-0.20149017569680985,0.0019655446655086105,0.01970348305857953
DC shape[73],2.10224538167586e-05,3.140915637243953e-05,0.04695163860970054,-3.0280318114505453e-07,-3.241570836760394e-06,0.046328161559728326,0.18555368321028098,-0.18560729511583007,-0.40268519826409,-0.00011453998791527957,-0.235040662419899,0.001985227018461862,0.019867935748336025
DC shape[74],-1.4222492391313891e-06,3.240846437395234e-05,0.047360525004429145,2.2894520123909346e-08,-3.573261665683131e-06,0.046791486549110195,0.18483897090228726,-0.18478300672773998,-0.40641196140116925,6.14977145888459e-05,-0.13450976310953405,0.0020072888813480972,0.02018349404722216
DC shape[75],-2.014168798413886e-05,3.257844138609686e-05,0.047750997580346705,7.093084484867849e-08,3.790280593757475e-06,0.04717367779481356,0.1841340136587485,-0.18409938318359947,-0.4099703039889232,8.898951862123497e-05,-0.06197829510461718,0.002022778499642193,0.020380474463721043
DC shape[76],7.45862618587651e-07,3.295645122023943e-05,0.048126734150477135,9.025653639074424e-08,5.016463721623726e-06,0.04750569506823921,0.1835387006517356,-0.18361890801362707,-0.41338961616640785,-8.4953438049701e-05,-0.17615371381712802,0.0020337860423250654,0.020401336133785926
DC shape[77],2.1119873577829245e-05,3.3978858197618566e-05,0.0484942060297348,-2.846247550055783e-07,-2.302435153168778e-06,0.04788940353701256,0.18329921612663128,-0.183367851003335,-0.4167305197590019,-0.00013085120438743007,-0.2593446757938738,0.0020497390760156635,0.020509733729162392
DC shape[78],2.7222150452173463e-06,3.419906454199182e-05,0.04886005837241029,-3.4510759344001006e-07,-3.802234995667751e-06,0.04831641244364249,0.18341196613929392,-0.18337201416598645,-0.4200583517882911,3.411730174825308e-05,-0.15503378506899926,0.002070148728437741,0.020798247986682627
