dataset_id,parameter,metric,n,spearman_rho,pvalue,interpretation
FT4,k0_2,lockin_phase_h2,511,-0.07313658340048347,0.09864907145681037,association_not_causation
FT4,k0_2,lockin_valid_fraction,511,0.0,1.0,association_not_causation
FT4,k0_2,score,511,0.1311020075015162,0.0029860661932389634,association_not_causation
FT4,k0_3,dc_nrmse,511,-0.4541202910958903,2.295853236875394e-27,association_not_causation
FT4,k0_3,global_amplitude_h1,511,0.28026244316219634,1.1214215842169426e-10,association_not_causation
FT4,k0_3,global_amplitude_h2,511,0.13446214530332676,0.0023194021717875915,association_not_causation
FT4,k0_3,global_phase_h1,511,-0.37443917635547364,1.8770108605451215e-18,association_not_causation
FT4,k0_3,global_phase_h2,511,-0.34849982373086213,4.881155814885209e-16,association_not_causation
FT4,k0_3,lockin_amplitude_h1,511,0.1361354430470818,0.00204088228439045,association_not_causation
FT4,k0_3,lockin_amplitude_h2,511,0.04799206069414065,0.2788782921346155,association_not_causation
FT4,k0_3,lockin_peak_shift_h1,511,-0.3447794400397723,1.0400576968524184e-15,association_not_causation
FT4,k0_3,lockin_peak_shift_h2,511,-0.20994950003408033,1.686073464880591e-06,association_not_causation
FT4,k0_3,lockin_phase_h1,511,-0.3450337969091745,9.879509793546838e-16,association_not_causation
FT4,k0_3,lockin_phase_h2,511,-0.43580718674456076,4.214980867650522e-25,association_not_causation
FT4,k0_3,lockin_valid_fraction,511,0.0,1.0,association_not_causation
FT4,k0_3,score,511,0.06033094084002682,0.1732924838521472,association_not_causation
FT4,G_OH,dc_nrmse,511,0.12618379115344763,0.004278473320262659,association_not_causation
FT4,G_OH,global_amplitude_h1,511,-0.16045527800161158,0.000270652413639205,association_not_causation
FT4,G_OH,global_amplitude_h2,511,-0.11687884914239663,0.00817677272722721,association_not_causation
FT4,G_OH,global_phase_h1,511,0.2952668139173477,9.713745648996202e-12,association_not_causation
FT4,G_OH,global_phase_h2,511,0.22296481092436968,3.5414756792199763e-07,association_not_causation
FT4,G_OH,lockin_amplitude_h1,511,0.11902123863243926,0.00707054358479378,association_not_causation
