sample,harmonic,lsoda_success,cn_success,lsoda_time_s,cn_time_s,current_nrmse,dc_nrmse,global_relative_strength,global_resolved,lockin_relative_strength,lockin_resolved,global_amplitude_relative_error,global_phase_error_rad,lockin_amplitude_nrmse,lockin_phase_rmse_rad,peak_shift_v
3,6,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,0.0004681540662688339,False,0.0438199039000454,True,0.0011720523777238256,0.00042526998960701334,0.0003977084951307042,0.0009049239336646329,0.0
3,7,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,0.00027488594524332984,False,0.032342832324938925,True,0.0008191995852198754,0.0008402172833166245,0.0005257372987065026,0.0017534091471452713,0.0
4,1,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,1.0,True,1.0,True,2.015383355649581e-06,1.2707747902851452e-06,1.975490713876811e-06,7.70931291565725e-06,0.0
4,2,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,0.21788389316831727,True,0.2246871486136233,True,7.86945847333961e-06,1.3593439464720802e-05,1.4784167079541621e-05,7.317311898165578e-05,0.0
4,3,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,0.019154592817412542,False,0.06376173473823192,True,1.96111926042837e-05,5.839990118383654e-05,5.49403754087028e-05,0.00022331314644103236,0.0
4,4,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,0.0057438304932857535,False,0.025831938373568585,True,0.0001280356978268457,0.000118552991568599,0.00013331125512819046,0.00023946829754409017,0.0
4,5,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,0.0007454181997465106,False,0.012397441655852092,False,0.001085891865716503,0.00031720773500909516,0.00032412141489471745,0.00036122642247112224,0.0
4,6,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,0.0003153944524354733,False,0.005859781304673808,False,0.0022514170836457686,0.0010754520106921461,0.0006132191219193103,0.0022935013225458905,0.0
4,7,True,True,7.11636303799969,0.1633643159998428,4.305980588967879e-06,6.917682866658764e-08,0.0003088545353101474,False,0.003257362508899939,False,0.0020436107731372846,0.0006504610311699466,0.0011265378937500288,0.0024021543958640448,0.0
5,1,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,1.0,True,1.0,True,3.5760069354535295e-05,1.0624509009904415e-05,1.1261903897055707e-05,1.4884300916987913e-05,0.0
5,2,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,0.26728123063195836,True,0.4200450158428542,True,1.8584361374206884e-06,2.934467653181727e-05,3.444601756311906e-05,7.28003928260658e-05,0.0
5,3,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,0.07629190782304966,True,0.27892532734902226,True,6.12635440454151e-05,0.00018763910425567687,0.00023321239435013838,0.00024137625917946526,0.0
5,4,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,0.009653078287899014,False,0.2238058230989012,True,5.504549157428459e-05,0.00021460887570662335,0.0004427136793238278,0.0002838491494406401,0.0
5,5,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,0.0016474254518473595,False,0.14165016225073873,True,0.000962659473940069,0.0005827717213630623,0.0006420314721636391,0.0004304688415917716,0.0
5,6,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,0.00017787682151892333,False,0.09115621525486244,True,9.259660802464175e-05,0.0009878906675022114,0.0008916513172876309,0.0005964169277391048,0.0
5,7,True,True,10.356485635999888,0.19375060299989855,1.8191691736534947e-05,1.2878377653062763e-07,1.8980877740915938e-05,False,0.06515884157805077,True,0.0008675684005665448,0.005227663814192873,0.0011695734889224964,0.0009944439744623633,0.0
6,1,True,True,5.050451367000278,0.1541526400001203,5.8157774372255696e-05,1.3508437416653964e-05,1.0,True,1.0,True,4.9421778470384645e-05,9.378358800660182e-08,4.461499263228934e-05,2.5372653425647138e-05,0.0
6,2,True,True,5.050451367000278,0.1541526400001203,5.8157774372255696e-05,1.3508437416653964e-05,0.2045171897123687,True,0.12695930352577747,True,5.6948288962444424e-05,6.580373440012721e-05,8.527121127625706e-05,0.0016992258784463987,0.0
